2.000000000000000000e+00,3.313751668891855573e-01,4.401046697458772805e-02
3.000000000000000000e+00,5.954161103693813573e-01,1.276057673732459985e-01
4.000000000000000000e+00,7.337338673787271448e-01,2.305837035996323725e-01
5.000000000000000000e+00,8.113039608366711120e-01,3.252840659630143461e-01
6.000000000000000000e+00,8.612817089452603492e-01,4.202888369833102100e-01
7.000000000000000000e+00,8.898531375166889301e-01,4.810651961386932518e-01
8.000000000000000000e+00,9.141522029372496361e-01,5.528529530566727024e-01
9.000000000000000000e+00,9.283934134401423677e-01,5.998957985751333100e-01
1.000000000000000000e+01,9.372051624388072488e-01,6.318996856395215911e-01
1.100000000000000000e+01,9.452158433466845144e-01,6.771746193428285210e-01
1.200000000000000000e+01,9.525589675122385636e-01,7.142246652968277099e-01
1.300000000000000000e+01,9.589675122385402650e-01,7.456372970852871429e-01
1.400000000000000000e+01,9.653315531820204631e-01,7.678708370652663762e-01
1.500000000000000000e+01,9.696929238985313448e-01,8.000796145718082064e-01
1.600000000000000000e+01,9.730307076101468722e-01,8.269553865697242268e-01
1.700000000000000000e+01,9.794392523364485736e-01,8.574665004127078882e-01
1.800000000000000000e+01,9.824655095683133554e-01,8.792083033315185592e-01
1.900000000000000000e+01,9.840676457498886975e-01,8.939545611539430059e-01
2.000000000000000000e+01,9.874499332443257282e-01,9.242666385674059848e-01
2.100000000000000000e+01,9.892300845571873058e-01,9.338262411970285060e-01
2.200000000000000000e+01,9.910992434356920011e-01,9.421096690726659117e-01
2.300000000000000000e+01,9.940364931019136652e-01,9.628621438565064805e-01
2.600000000000000000e+01,9.951490876724521373e-01,9.781001387400993785e-01
2.800000000000000000e+01,9.963506898086337271e-01,9.827599327959349873e-01
2.900000000000000000e+01,9.975967957276368203e-01,9.876890114328866765e-01
5.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00
