2.000000000000000000e+00,2.838492314171404685e-01,1.766380650132560320e-02
3.000000000000000000e+00,6.287639503053273904e-01,8.209588736956209554e-02
4.000000000000000000e+00,7.923773425984417251e-01,1.917094385456255268e-01
5.000000000000000000e+00,8.681827753211202037e-01,3.119408637960532360e-01
6.000000000000000000e+00,9.181933038534427771e-01,4.332954589977667248e-01
7.000000000000000000e+00,9.409349336702463873e-01,5.251537828625161275e-01
8.000000000000000000e+00,9.646241313960833841e-01,6.459663832621557189e-01
9.000000000000000000e+00,9.755738050115814186e-01,7.082957855006595249e-01
1.000000000000000000e+01,9.831543482838491776e-01,7.809687993835625619e-01
1.100000000000000000e+01,9.873657612128868832e-01,8.118494429860648731e-01
1.200000000000000000e+01,9.896820383238577046e-01,8.231333829617730746e-01
1.300000000000000000e+01,9.934723099599915841e-01,8.669500711776306767e-01
1.400000000000000000e+01,9.948410191619287968e-01,8.687523671459729258e-01
1.600000000000000000e+01,9.964202990103179225e-01,9.138750669330930609e-01
1.700000000000000000e+01,9.981048641819330047e-01,9.448863116927216366e-01
1.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00
